NAME,DESCRIPTION,data_category
EmploymentDurationCurrentEmployer,Employment time with the current employer,Shared Legend Between Public and Private
CreditScoreEsEquifaxRisk,"Generic score for the loan applicants that do not have active past due operations in ASNEF; a measure of the probability of default one year ahead; the score is given on a 6-grade scale: AAA (“Very low”), AA (“Low”), A (“Average”), B (“Average High”), C (“High”), D (“Very High”).",Shared Legend Between Public and Private
NextPaymentNr,According to schedule the number of the next payment,Shared Legend Between Public and Private
MaritalStatus,1 Married 2 Cohabitant 3 Single 4 Divorced 5 Widow,Shared Legend Between Public and Private
LanguageCode,1 Estonian 2 English 3 Russian 4 Finnish 5 German 6 Spanish 9 Slovakian,Shared Legend Between Public and Private
Interest,Maximum interest rate accepted in the loan application,Shared Legend Between Public and Private
DefaultDate,The date when loan went into defaulted state and collection process was started,Shared Legend Between Public and Private
LoanDate,Date when the loan was issued,Shared Legend Between Public and Private
CreditScoreEeMini,1000 No previous payments problems 900 Payments problems finished 24-36 months ago 800 Payments problems finished 12-24 months ago 700 Payments problems finished 6-12 months ago 600 Payment problems finished < 6 months ago 500 Active payment problems,Shared Legend Between Public and Private
PrincipalPaymentsMade,Note owner received loan transfers principal amount,Shared Legend Between Public and Private
ContractEndDate,The date when the loan contract ended,Shared Legend Between Public and Private
Gender,0 Male 1 Woman 2 Undefined,Shared Legend Between Public and Private
Amount,The sum of the transaction,Account Statement
Amount,Amount the borrower received on the Primary Market. This is the principal balance of your purchase from Secondary Market,Shared Legend Between Public and Private
IncomeTotal,Borrower's total income,Shared Legend Between Public and Private
CreditScoreEsMicroL,"A score that is specifically designed for risk classifying subprime borrowers (defined by Equifax as borrowers that do not have access to bank loans); a measure of the probability of default one month ahead; the score is given on a 10-grade scale, from the best score to the worst: M1, M2, M3, M4, M5, M6, M7, M8, M9, M10.",Shared Legend Between Public and Private
Restructured,The original maturity date of the loan has been increased by more than 60 days,Shared Legend Between Public and Private
PrincipalDebtServicingCost,Service cost related to the recovery of the debt based on the principal of the investment,Shared Legend Between Public and Private
GracePeriodStart,Date of the beginning of Grace period,Shared Legend Between Public and Private
PlannedInterestTillDate,According to active schedule the amount of interest the investment should have received,Shared Legend Between Public and Private
DebtToIncome,Ratio of borrower's monthly gross income that goes toward paying loans,Shared Legend Between Public and Private
EmploymentStatus,1 Unemployed 2 Partially employed 3 Fully employed 4 Self-employed 5 Entrepreneur 6 Retiree,Shared Legend Between Public and Private
UserName,The user name generated by the system for the borrower,Shared Legend Between Public and Private
LoanDuration,Current loan duration in months,Shared Legend Between Public and Private
InterestAndPenaltyDebtServicingCost,Service cost related to the recovery of the debt based on the interest and penalties of the investment,Shared Legend Between Public and Private
VerificationType,"Method used for loan application data verification 0 Not set 1 Income unverified 2 Income unverified, cross-referenced by phone 3 Income verified 4 Income and expenses verified",Shared Legend Between Public and Private
ActiveScheduleFirstPaymentReached,Whether the first payment date has been reached according to the active schedule,Shared Legend Between Public and Private
PreviousEarlyRepaymentsCountBeforeLoan,How many times the borrower had repaid early,Shared Legend Between Public and Private
NoOfPreviousLoansBeforeLoan,Number of previous loans,Shared Legend Between Public and Private
LiabilitiesTotal,Total monthly liabilities,Shared Legend Between Public and Private
PreviousRepaymentsBeforeLoan,How much the borrower had repaid before the loan,Shared Legend Between Public and Private
InterestAndPenaltyPaymentsMade,"Note owner received loan transfers earned interest, penalties total amount",Shared Legend Between Public and Private
ExpectedReturn,Expected Return calculated by the current Rating model,Shared Legend Between Public and Private
Age,The age of the borrower when signing the loan application,Shared Legend Between Public and Private
AmountOfPreviousLoansBeforeLoan,Value of previous loans,Shared Legend Between Public and Private
Education,1 Primary education 2 Basic education 3 Vocational education 4 Secondary education 5 Higher education,Shared Legend Between Public and Private
NrOfScheduledPayments,According to schedule the count of scheduled payments,Shared Legend Between Public and Private
CreditScoreFiAsiakasTietoRiskGrade,Credit Scoring model for Finnish Asiakastieto RL1 Very low risk 01-20 RL2 Low risk 21-40 RL3 Average risk 41-60 RL4 Big risk 61-80 RL5 Huge risk 81-100,Shared Legend Between Public and Private
NewCreditCustomer,Did the customer have prior credit history in Bondora 0 Customer had at least 3 months of credit history in Bondora 1 No prior credit history in Bondora,Shared Legend Between Public and Private
ProbabilityOfDefault,"Probability of Default, refers to a loan’s probability of default within one year horizon.",Shared Legend Between Public and Private
Status,The current status of the loan application,Shared Legend Between Public and Private
LoanNumber,A unique number given to all loan applications,Shared Legend Between Public and Private
HomeOwnershipType,"0 Homeless 1 Owner 2 Living with parents 3 Tenant, pre-furnished property 4 Tenant, unfurnished property 5 Council house 6 Joint tenant 7 Joint ownership 8 Mortgage 9 Owner with encumbrance 10 Other",Shared Legend Between Public and Private
AppliedAmount,The amount borrower applied for originally,Shared Legend Between Public and Private
ExpectedLoss,Expected Loss calculated by the current Rating model,Shared Legend Between Public and Private
LossGivenDefault,"Gives the percentage of outstanding exposure at the time of default that an investor is likely to lose if a loan actually defaults. This means the proportion of funds lost for the investor after all expected recovery and accounting for the time value of the money recovered. In general, LGD parameter is intended to be estimated based on the historical recoveries. However, in new markets where limited experience does not allow us more precise loss given default estimates, a LGD of 90% is assumed.",Shared Legend Between Public and Private
GracePeriodEnd,Date of the end of Grace period,Shared Legend Between Public and Private
loan_id,A unique number given to all loan applications,Future Cashflows
loan_id,A unique number given to a loan applications,Historic Payments
loan_id,A unique number given to all loan applications,Planned Future Cashflows
loan_id,A unique number given to all loan applications,Repayments
loan_id,A unique number given to all loan applications,Secondary Market Archive
loan_id,A unique number given to all loan applications,Secondary Market Transactions History
OccupationArea,"1 Other 2 Mining 3 Processing 4 Energy 5 Utilities 6 Construction 7 Retail and wholesale 8 Transport and warehousing 9 Hospitality and catering 10 Info and telecom 11 Finance and insurance 12 Real-estate 13 Research 14 Administrative 15 Civil service & military 16 Education 17 Healthcare and social help 18 Art and entertainment 19 Agriculture, forestry and fishing",Shared Legend Between Public and Private
PlannedPrincipalTillDate,According to active schedule the amount of principal the investment should have received,Shared Legend Between Public and Private
